ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
f33f59ac49da913ed4d91aa538c41f3342d9f7f325ee84d419454c9d9fe9ee88,https://www.snap.com/political-ads/asset/3ca47c7f4b10c6b7d8fda7b38d035aa55ff3abf4e3c0aa783455b7d203c96a77?mediaType=mp4,USD,120,25563,2021/03/24 15:10:53Z,2021/04/30 15:10:53Z,Wavelength Strategy,US,,End Citizens United,,18+,united states,Pennsylvania,,,,,,,,,,,,"Advocates & Activists,Green Living Enthusiasts,Political News Watchers,Philanthropists,TV Network Viewers (CNN),TV Network Viewers (Comedy Central),TV Network Viewers (MSNBC)",,Provided by Advertiser,,,,,web_view_url:https://p2a.co/1ZCIL8y?p2asource=snapchat
9767f1c68cf5fb85556036a270f303bdfa6148ca5b59387372d526104d000c6a,https://www.snap.com/political-ads/asset/8a8734082e8f6a888b74d3b52e367f70a56eaa91715c81f4a843f7cd8735d3bb?mediaType=mp4,USD,50,15826,2021/02/22 17:00:00Z,2021/02/28 20:20:25Z,For Our Future Michigan,"435 R St NW,Apt 102 ,20001,US",President Biden,For Our Future,,18+,united states,Michigan,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://fofmi.link/100daysshare
39eb00b52f3c2a267dd5a0d6c5e415dbc419bc41436e8b343d22a954a6090b25,https://www.snap.com/political-ads/asset/f0051b38d01d9813f0dad4b86bc98516cd534907736af4def5aa6af8a042093e?mediaType=mp4,GBP,40,13743,2021/04/07 09:00:00Z,2021/04/19 20:40:00Z,Register to Vote 21,"33 Mighell Street,Brighton,BN2 0JF,GB",,JRRT,,18-29,united kingdom,,,,,,,,,"bn3 1,bn3 3,bn3 4,bn3 5,bn3 6,bn3 7,bn88 1,gu1 2,gu1 3,gu1 4,gu16 6,gu2 7,gu2 9,gu23 7,gu3 1,kt18 7,kt19 9,kt24 5,kt6 6,me3 9,me4 4,me4 6,me7 1,me7 2,me7 4,me8 6,mk10 7,mk11 1,mk11 2,mk13 7,mk13 9,mk14 5,mk14 6,mk14 7,mk15 8,mk15 9,mk16 0,mk16 8,mk16 9,mk17 8,mk3 5,mk3 7,mk4 2,mk4 3,mk4 4,mk43 8,mk46 5,mk5 7,mk5 8,mk6 2,mk7 7,mk8 0,mk8 9,mk9 3,mk9 4,ox1 3,ox2 8,ox3 8,ox4 1,ox4 2,ox4 6,ox4 7,rg1 2,rg1 4,rg1 5,rg1 8,rg2 0,rg30 6,rg31 4,rg4 5,rg4 6,rg6 1,rg6 5,rh10 1,rh10 3,rh10 5,rh10 7,rh10 8,rh11 0,rh6 0,rh6 9,sl0 9,sl1 2,sl1 4,sl1 6,sl2 3,sl2 5,sl3 8,tw19 7,ub8 1",,,,,,Provided by Advertiser,en,,,,web_view_url:https://www.gov.uk/register-to-vote?utm_source=snapchat&utm_medium=video&utm_campaign=2021%20-%20apr%20-%20kcl%20register%20to%20vote%20campaign
8221951590407c40237ee1f087c140b5aceaef9d354cb76a603a0f8e4a41fd69,https://www.snap.com/political-ads/asset/8b11d5b0bbc17a26d19ee9e5904a3d5569d1f483fea3082a973b3c6260b0317c?mediaType=mp4,EUR,93,45463,2021/03/10 07:00:00Z,2021/03/11 22:59:59Z,VICE,"Reguliersdwarsstraat 90,Amsterdam,1017BN,NL",Helping young people choosing who they vote on,VICE,,18-35,netherlands,,,,,,,,,,,,,,,Provided by Advertiser,nl,,,,"deep_link_uri:https://www.snapchat.com/discover/Kiezen_met_VICE/1895226669,deep_link_android_app:https://play.google.com/store/apps/details?id=com.snapchat.android,deep_link_ios_app:https://apps.apple.com/app/id477188370"
d1ea025bce79a0b9da5f559c5a3231efd2ddf863384a65f923463745e3af62d2,https://www.snap.com/political-ads/asset/fa42f300331ce868ce1b88337b0b5d69e09c88ce502ef4d56e9a71e84d01c353?mediaType=mp4,USD,2673,249513,2021/04/06 15:52:57Z,2021/05/15 04:59:59Z,Wavelength Strategy,US,,End Citizens United,,18+,united states,Nevada,,,,,,,,,,,,"Green Living Enthusiasts,Political News Watchers,Philanthropists,TV Network Viewers (CNN),TV Network Viewers (MSNBC)",,Provided by Advertiser,,,,,web_view_url:https://p2a.co/1ZCIL8y?p2asource=snapchat_nevada
d6efd9595da522c904dd029f33e19d501720f062e3777b7698d2bfae3becd29b,https://www.snap.com/political-ads/asset/104e321849ebeaaed05f6511ecc681d52fc1bfc817db373de8194e0e5f570bea?mediaType=png,USD,156,25330,2021/02/17 21:17:09Z,2021/04/16 03:41:13Z,Bully Pulpit Interactive,"1445 New York Ave NW,Washington,20005,US",,American Civil Liberties Union,,26-34,united states,,,,,,,,,,,,,,,,en,,,,web_view_url:https://action.aclu.org/signup/pm-support-marijuana-legalization?&utm_medium=pm&utm_source=snap&utm_campaign=nat-dig-pm-lb-bpi&utm_content=snap-social-marijuana-reengaged26-34_equitable_01082021&utm_term=&initms_aff=nat&initms_chan=pm&initms=nat-dig-pm-lb-bpi-snap-social-marijuana-reengaged26-34_equitable_01082021&ms_aff=nat&ms_chan=pm&ms=nat-dig-pm-lb-bpi-snap-social-marijuana-reengaged26-34_equitable_01082021
4ae4a12ef90ec9dae7b1d193350db3d094c4224c2b75179fb755ce107fbd78f0,https://www.snap.com/political-ads/asset/56770d70e8867329073dde4aca31ac800cc6c4b2544f375e4101303c7152b351?mediaType=mp4,USD,172,33345,2021/03/24 15:23:49Z,2021/04/30 15:23:49Z,Wavelength Strategy,US,,End Citizens United,,18+,united states,,District of Columbia,,,,,,,,,,,"Advocates & Activists,Green Living Enthusiasts,Political News Watchers,Philanthropists,TV Network Viewers (CNN),TV Network Viewers (Comedy Central),TV Network Viewers (MSNBC)",,Provided by Advertiser,,,,,web_view_url:https://p2a.co/1ZCIL8y?p2asource=snapchat
de9912d72136db524acdd7ad5112adaac843694a88a4f209ca3ab63bdd42dd90,https://www.snap.com/political-ads/asset/7b74e209709d62b10455065ee34e0ae892b1488e34a1ab70f832f2b06d552cd7?mediaType=png,SEK,1124,29291,2021/04/28 07:00:00Z,2021/05/17 15:37:44Z,Reform Society,SE,,Fackförbundet ST,,25-34,sweden,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://st.org/fortroendevald/verksamhetsomraden/sa-skapar-vi-battre-upphandlingar/checklista-en-ansvarsfull?utm_source=snapchat&utm_medium=paid-social&utm_campaign=varkampanj-2021&utm_content=hellre
f01350de370c07367ce3f12d681dbfe95c9fc23351fd17bc1b4feb4a0e503d1d,https://www.snap.com/political-ads/asset/037f3b61a3b582f8cbd99c4232a785e55359d32b8fd6a13a3e0123e12b3e386e?mediaType=png,USD,306,28992,2021/01/22 15:12:53Z,,Pythia Public,"214 N 11th Street  6N,Brooklyn,11211,US",Save the NYC Hotel Industry,Hotel Association of NYC,,21+,united states,,,,,"latitude 40.75;longitude -73.99;radius 0.52,latitude 40.73;longitude -73.99;radius 0.3,latitude 40.74;longitude -74.0;radius 0.3,latitude 40.73;longitude -74.0;radius 0.3,latitude 40.74;longitude -74.01;radius 0.52,latitude 40.77;longitude -73.99;radius 0.3,latitude 40.79;longitude -73.95;radius 0.52,latitude 40.83;longitude -73.94;radius 0.3,latitude 40.84;longitude -73.94;radius 0.3,latitude 40.85;longitude -73.93;radius 0.3,latitude 40.87;longitude -73.92;radius 0.52,latitude 40.8;longitude -73.94;radius 0.52,latitude 40.76;longitude -73.99;radius 0.3,latitude 40.86;longitude -73.93;radius 0.3,latitude 40.83;longitude -73.92;radius 0.5,latitude 40.83;longitude -73.93;radius 0.5,latitude 40.85;longitude -73.91;radius 0.5,latitude 40.81;longitude -73.92;radius 0.5,latitude 40.81;longitude -73.91;radius 0.5,latitude 40.82;longitude -73.91;radius 0.5,latitude 40.85;longitude -73.9;radius 0.5,latitude 40.86;longitude -73.89;radius 0.5,latitude 40.82;longitude -73.9;radius 0.5,latitude 40.84;longitude -73.88;radius 0.5,latitude 40.88;longitude -73.9;radius 0.74,latitude 40.86;longitude -73.9;radius 0.74,latitude 40.82;longitude -73.89;radius 0.74,latitude 40.79;longitude -73.73;radius 1.0,latitude 40.8;longitude -73.74;radius 1.0,latitude 40.66;longitude -73.93;radius 0.5,latitude 40.71;longitude -73.95;radius 0.5,latitude 40.68;longitude -73.9;radius 0.5,latitude 40.68;longitude -73.88;radius 0.5,latitude 40.63;longitude -73.95;radius 0.5,latitude 40.66;longitude -73.91;radius 0.5,latitude 40.69;longitude -73.92;radius 0.5,latitude 40.65;longitude -73.96;radius 0.5,latitude 40.61;longitude -73.97;radius 0.5,latitude 40.68;longitude -73.93;radius 0.5,latitude 40.61;longitude -73.92;radius 1.2,latitude 40.65;longitude -73.9;radius 0.5,latitude 40.7;longitude -73.92;radius 0.5,latitude 40.65;longitude -73.89;radius 0.5,latitude 40.79;longitude -73.81;radius 0.97,latitude 40.75;longitude -73.85;radius 0.5,latitude 40.77;longitude -73.87;radius 0.5,latitude 40.77;longitude -73.89;radius 0.5,latitude 40.75;longitude -73.89;radius 0.5,latitude 40.69;longitude -73.76;radius 0.5,latitude 40.68;longitude -73.84;radius 0.5,latitude 40.7;longitude -73.82;radius 0.52,latitude 40.69;longitude -73.82;radius 0.5,latitude 40.68;longitude -73.81;radius 0.5,latitude 40.69;longitude -73.85;radius 0.5,latitude 40.71;longitude -73.78;radius 0.5,latitude 40.72;longitude -73.8;radius 0.5,latitude 40.7;longitude -73.8;radius 0.5,latitude 40.67;longitude -73.77;radius 0.5,latitude 40.7;longitude -73.81;radius 0.28,latitude 40.67;longitude -73.8;radius 0.5",,,,,,,,"TV Network Viewers (CNN),TV Network Viewers (MSNBC),TV Network Viewers (PBS)",,Provided by Advertiser,,,,,web_view_url:https://keyto.nyc/save-the-hotels/?utm_source=snapchat&utm_campaign={{campaign.name}}&utm_content={{creative.name}}&utm_medium=paid-digital
f48bc2b082c8d5c305083fcac3517b29f5287b1ffbe40e4ee375cdc4f0cdc2c1,https://www.snap.com/political-ads/asset/3681b24643a1859ab5900dc8a0755f15f466e7d894744ff3001f19faecfe2b62?mediaType=mp4,USD,100,14904,2021/03/24 15:31:49Z,2021/03/31 15:31:49Z,Wavelength Strategy,US,,End Citizens United,,18+,united states,Alaska,,,,,,,,,,,,"Advocates & Activists,Green Living Enthusiasts,Political News Watchers,TV Network Viewers (CNN),TV Network Viewers (Comedy Central),TV Network Viewers (MSNBC)",,Provided by Advertiser,,,,,web_view_url:https://p2a.co/1ZCIL8y?p2asource=snapchat
